Instituição;Código;TCB;SR;TD;TC;Cidade;UF;Data;Resultado de Intermediação Financeira;;;;;;;;;;;;;;Outras Receitas/Despesas Operacionais;;;;;;;;;Resultado Operacional (e) = (c) + (d);Resultado Não Operacional (f);Resultado antes da Tributação, Lucro e Participação (g) = (e) + (f);Imposto de Renda e Contribuição Social (h);Participação nos Lucros (i);Lucro Líquido (j) = (g) + (h) + (i);Juros Sobre Capital Social de Cooperativas (k);
;;;;;;;;;Receitas de Intermediação Financeira;;;;;;;Despesas de Intermediação Financeira;;;;;;Resultado de Intermediação Financeira (c) = (a) + (b);Rendas de Prestação de Serviços (d1);Rendas de Tarifas Bancárias (d2);Despesas de Pessoal (d3);Despesas Administrativas (d4);Despesas Tributárias (d5);Resultado de Participações (d6);Outras Receitas Operacionais (d7);Outras Despesas Operacionais (d8);Outras Receitas/Despesas  Operacionais (d) = (d1) + (d2) + (d3) + (d4) + (d5) + (d6) + (d7) + (d8);;;;;;;;
;;;;;;;;;Rendas de Operações de Crédito (a1);Rendas de Operações de Arrendamento Mercantil (a2);Rendas de Operações com TVM (a3);Rendas de Operações com Instrumentos Financeiros Derivativos (a4);Resultado de Operações de Câmbio (a5);Rendas de Aplicações Compulsórias (a6);Receitas de Intermediação Financeira (a) = (a1) + (a2) + (a3) + (a4) + (a5) + (a6);Despesas de Captação (b1);Despesas de Obrigações por Empréstimos e Repasses (b2);Despesas de Operações de Arrendamento Mercantil (b3);Resultado de Operações de Câmbio (b4);Resultado de Provisão para Créditos de Difícil Liquidação (b5);Despesas de Intermediação Financeira (b) = (b1) + (b2) + (b3) + (b4) + (b5);;;;;;;;;;;;;;;;;;
VOTORANTIM - PRUDENCIAL;1000080484;b1;S2;C;2;SAO PAULO;SP;12/2024;7.768.873;4.419;2.643.847;1.734.466;220.247;183.413;12.555.265;-6.574.531;-1.080.829;-7.978;0;-1.541.683;-9.205.021;3.350.244;340.326;542.146;-845.097;-1.294.676;-296.517;260.019;526.151;-1.478.603;-2.246.251;1.103.993;-106.842;997.151;234.753;-167.582;1.064.321;0
CITIBANK - PRUDENCIAL;1000080192;b1;S2;C;3;SAO PAULO;SP;12/2024;1.426.721;3.231;4.527.171;2.632.788;0;1.704.580;10.294.491;-3.763.314;-2.784.016;-3.190;-960.746;-346.642;-7.857.909;2.436.582;700.564;24.789;-779.837;-818.176;-192.976;0;977.363;-748.490;-836.764;1.599.818;7.804;1.607.622;-109.677;-105.490;1.392.455;0
JP MORGAN CHASE - PRUDENCIAL;1000080116;b1;S3;C;3;SAO PAULO;SP;12/2024;100.105;0;3.187.968;3.791.774;777.182;1.489.566;9.346.595;-2.025.608;-5.494.504;0;0;2.872;-7.517.240;1.829.355;660.945;2.322;-690.062;-260.117;-82.593;0;59.978;-182.699;-492.227;1.337.128;2.104;1.339.232;-363.942;-21.684;953.606;0
BCO COOPERATIVO SICREDI - PRUDENCIAL;1000080745;b1;S2;C;2;PORTO ALEGRE;RS;12/2024;5.629.384;0;2.864.862;463.032;203.679;430;9.161.387;-5.661.646;-2.458.813;0;0;-51.727;-8.172.186;989.201;314.917;2.600;-60.746;-945.213;-91.643;1.335;824.926;-904.493;-858.318;130.883;-94;130.789;-52.015;-5.299;73.475;0
BANRISUL - PRUDENCIAL;1000080154;b1;S2;C;1;PORTO ALEGRE;RS;12/2024;4.795.613;2.029;3.125.487;190.351;263.833;610.998;8.988.312;-5.340.844;-492.613;-1.464;0;-211.288;-6.046.208;2.942.103;553.700;358.035;-1.173.557;-1.097.239;-254.236;133.166;381.115;-1.216.466;-2.315.481;626.622;-2.944;623.678;-19.811;-122.901;480.966;0
BCO DAYCOVAL S.A - PRUDENCIAL;1000081744;b1;S3;C;2;SAO PAULO;SP;12/2024;4.226.495;988.202;1.408.686;878.165;279.370;72.500;7.853.417;-3.532.441;-614.658;-777.577;0;-654.880;-5.579.556;2.273.862;177.623;96.849;-451.524;-605.786;-164.075;29.883;688.804;-787.132;-1.015.357;1.258.505;102.000;1.360.505;-383.484;-93.798;883.223;0
BANCO C6 - PRUDENCIAL;1000084844;b1;S3;C;2;SAO PAULO;SP;12/2024;4.913.335;0;2.492.190;-150.767;114.684;129.096;7.498.538;-4.543.218;-168.296;0;0;-862.488;-5.574.002;1.924.536;804.158;99.373;-451.600;-992.943;-187.315;60.439;440.189;-892.717;-1.120.417;804.119;2.962;807.081;522.460;-2.200;1.327.341;0
BANCOOB - PRUDENCIAL;1000080879;b1;S2;C;2;BRASILIA;DF;12/2024;2.574.735;0;4.051.851;-18.395;70.327;105.530;6.784.048;-5.629.070;-311.021;0;0;-115.288;-6.055.380;728.669;719.864;70;-185.180;-606.473;-155.967;73.806;372.924;-487.212;-268.167;460.502;-2.289;458.213;-160.132;-14.070;284.010;0
BANCO MASTER - PRUDENCIAL;1000080367;b1;S3;C;2;RIO DE JANEIRO;RJ;12/2024;5.349.010;0;1.412.196;-1.143.312;122.397;119.933;5.860.224;-3.572.779;-380;0;0;-538.662;-4.111.820;1.748.404;384.452;1.514;-330.143;-1.547.957;-221.331;-22.104;1.343.723;-882.003;-1.273.850;474.554;473.881;948.435;-338.638;-43.037;566.760;0
BCO RABOBANK INTL BRASIL S.A. - PRUDENCIAL;1000081555;b1;S3;I;3;SAO PAULO;SP;12/2024;3.875.352;0;1.006.513;31.907;526.088;0;5.439.859;-649.133;-3.846.541;0;0;-337.605;-4.833.278;606.581;53.602;2.669;-212.059;-226.127;-49.096;0;21.786;-44.307;-453.532;153.049;-143;152.905;66.979;-43.429;176.455;0
ABC-BRASIL - PRUDENCIAL;1000080312;b1;S3;C;3;SAO PAULO;SP;12/2024;2.193.329;0;1.822.220;531.296;544.554;0;5.091.399;-2.189.530;-1.949.506;0;0;-126.945;-4.265.981;825.418;261.000;14.975;-267.063;-206.914;-175.689;0;535.293;-341.234;-179.631;645.787;3.000;648.786;-4.551;-136.104;508.131;0
BMG - PRUDENCIAL;1000080178;b1;S3;C;2;SAO PAULO;SP;12/2024;4.498.372;0;1.109.291;-668.890;80.708;0;5.019.481;-1.850.281;-50.810;0;0;-541.750;-2.442.841;2.576.639;48.856;33.010;-177.709;-1.123.480;-67.830;55.981;288.868;-1.485.555;-2.427.860;148.779;84.522;233.301;67.703;-82.221;218.784;0
BCO DO NORDESTE DO BRASIL S.A. - PRUDENCIAL;1000081593;b1;S2;C;1;FORTALEZA;CE;12/2024;1.519.234;0;2.537.442;160.591;100.234;9.126;4.326.627;-919.205;-1.327.853;0;0;-185.045;-2.432.103;1.894.524;1.967.940;61.154;-1.521.882;-1.243.379;-301.241;0;2.116.264;-642.159;436.697;2.331.221;9.164;2.340.385;-829.857;-188.903;1.321.625;0
VOLKSWAGEN - PRUDENCIAL;1000080202;b2;S3;C;3;SAO PAULO;SP;12/2024;3.740.727;13.336;105.090;110.291;0;0;3.969.444;-2.124.762;-759.072;-11.137;0;-644.209;-3.539.180;430.264;96.902;180.692;-2.569;-347.627;-115.322;0;654.324;-796.752;-330.350;99.914;-52.976;46.938;263.545;0;310.483;0
INTER - PRUDENCIAL;1000080996;b1;S3;C;2;BELO HORIZONTE;MG;12/2024;2.641.168;0;1.282.164;-41.887;64.621;0;3.946.066;-1.767.630;-6.342;0;0;-1.051.296;-2.825.268;1.120.798;726.063;46.723;-457.385;-1.041.614;-148.981;34.264;494.777;-457.037;-803.191;317.607;41.435;359.042;36.838;0;395.880;0
BRB - PRUDENCIAL;1000080288;b1;S3;C;1;BRASILIA;DF;12/2024;3.102.653;0;649.979;0;2.084;26.928;3.781.645;-2.280.808;-14.501;0;0;252.539;-2.042.770;1.738.875;164.288;116.989;-652.717;-539.834;-143.419;55.382;280.732;-557.014;-1.275.592;463.283;-52.792;410.491;-133.862;-49.697;226.932;0
AGIBANK - PRUDENCIAL;1000083694;b1;S3;C;2;CAMPINAS;SP;12/2024;3.402.251;0;320.544;7.560;0;0;3.730.355;-1.528.857;-44.385;0;0;-549.349;-2.122.591;1.607.764;11.212;65.118;-65.547;-1.402.290;-105.801;377.412;29.886;-129.635;-1.219.645;388.118;268;388.386;41.146;-762;428.770;0
