Instituição;Código;TCB;SR;TD;TC;Cidade;UF;Data;Resultado de Intermediação Financeira;;;;;;;;;;;;;;Outras Receitas/Despesas Operacionais;;;;;;;;;Resultado Operacional (e) = (c) + (d);Resultado Não Operacional (f);Resultado antes da Tributação, Lucro e Participação (g) = (e) + (f);Imposto de Renda e Contribuição Social (h);Participação nos Lucros (i);Lucro Líquido (j) = (g) + (h) + (i);Juros Sobre Capital Social de Cooperativas (k);
;;;;;;;;;Receitas de Intermediação Financeira;;;;;;;Despesas de Intermediação Financeira;;;;;;Resultado de Intermediação Financeira (c) = (a) + (b);Rendas de Prestação de Serviços (d1);Rendas de Tarifas Bancárias (d2);Despesas de Pessoal (d3);Despesas Administrativas (d4);Despesas Tributárias (d5);Resultado de Participações (d6);Outras Receitas Operacionais (d7);Outras Despesas Operacionais (d8);Outras Receitas/Despesas  Operacionais (d) = (d1) + (d2) + (d3) + (d4) + (d5) + (d6) + (d7) + (d8);;;;;;;;
;;;;;;;;;Rendas de Operações de Crédito (a1);Rendas de Operações de Arrendamento Mercantil (a2);Rendas de Operações com TVM (a3);Rendas de Operações com Instrumentos Financeiros Derivativos (a4);Resultado de Operações de Câmbio (a5);Rendas de Aplicações Compulsórias (a6);Receitas de Intermediação Financeira (a) = (a1) + (a2) + (a3) + (a4) + (a5) + (a6);Despesas de Captação (b1);Despesas de Obrigações por Empréstimos e Repasses (b2);Despesas de Operações de Arrendamento Mercantil (b3);Resultado de Operações de Câmbio (b4);Resultado de Provisão para Créditos de Difícil Liquidação (b5);Despesas de Intermediação Financeira (b) = (b1) + (b2) + (b3) + (b4) + (b5);;;;;;;;;;;;;;;;;;
BB - PRUDENCIAL;1000080329;b1;S1;C;1;BRASILIA;DF;09/2024;38.930.552;66.514;27.575.252;346.725;0;1.851.863;68.770.906;-41.167.523;-3.024.572;-42.182;-625.296;-11.773.772;-56.633.345;12.137.561;5.340.365;2.243.096;-6.672.070;-3.663.221;-1.692.257;2.270.703;10.673.142;-11.116.304;-2.616.547;9.521.014;39.466;9.560.480;658.755;-1.140.319;9.078.916;0
ITAU - PRUDENCIAL;1000080099;b1;S1;C;2;SAO PAULO;SP;09/2024;34.494.904;198.677;22.551.770;-1.905.288;1.331.916;2.932.729;59.604.707;-38.044.983;-941.471;-5.232;0;-5.076.646;-44.068.332;15.536.375;8.281.653;2.541.526;-6.056.297;-7.476.956;-2.092.551;2.507.591;23.251.420;-23.601.145;-2.644.758;12.891.617;-76.590;12.815.028;736.549;-3.105.027;10.446.550;0
BRADESCO - PRUDENCIAL;1000080075;b1;S1;C;2;OSASCO;SP;09/2024;31.789.052;812.212;11.694.829;482.759;389.321;2.231.454;47.399.627;-28.390.743;-1.753.516;-619.175;0;-8.164.269;-38.927.703;8.471.924;5.438.747;2.460.185;-5.595.459;-5.504.854;-1.470.765;2.461.624;5.177.379;-6.621.520;-3.654.663;4.817.261;-86.225;4.731.036;514.494;-10.596;5.234.933;0
CAIXA ECONÔMICA FEDERAL - PRUDENCIAL;1000080738;b1;S1;C;1;BRASILIA;DF;09/2024;31.661.535;0;12.322.242;446.585;23.654;2.644.134;47.098.150;-24.713.562;-7.688.625;0;0;-3.083.833;-35.486.019;11.612.131;5.030.015;1.501.130;-7.076.279;-3.215.743;-1.078.818;960.401;2.236.010;-7.661.231;-9.304.515;2.307.615;525.138;2.832.754;663.917;-490.944;3.005.727;0
SANTANDER - PRUDENCIAL;1000080185;b1;S1;C;2;SAO PAULO;SP;09/2024;21.851.888;512.570;9.948.240;-1.206.272;1.443.446;2.197.408;34.747.280;-19.074.736;-3.754.068;-402.544;0;-3.391.540;-26.622.887;8.124.393;4.042.575;1.417.507;-2.166.823;-3.970.135;-1.224.204;879.107;9.781.511;-12.763.166;-4.003.628;4.120.765;70.175;4.190.940;-231.524;-539.979;3.419.437;0
BTG PACTUAL - PRUDENCIAL;1000080336;b1;S1;C;2;RIO DE JANEIRO;RJ;09/2024;7.643.591;0;6.484.749;2.113.625;0;1.029.416;17.271.381;-10.249.493;-2.137.526;0;-456.178;208.398;-12.634.800;4.636.582;1.692.083;302.335;-798.609;-2.722.877;-406.551;1.198.444;2.252.757;-2.340.806;-823.225;3.813.357;18.147;3.831.504;-135.721;-627.675;3.068.109;0
BNDES - PRUDENCIAL;1000081847;b4;S2;C;1;RIO DE JANEIRO;RJ;09/2024;10.588.588;0;6.682.624;-138.959;0;22.237;17.154.490;-1.109.598;-8.304.116;0;-12.570;1.297.849;-8.128.436;9.026.054;214.205;0;-655.663;-99.795;-344.267;10.120;425.331;-1.379.226;-1.829.294;7.196.759;120.955;7.317.715;-1.668.265;-616;5.648.834;0
NU PAGAMENTOS - PRUDENCIAL;1000084693;n1;S3;C;2;SAO PAULO;SP;09/2024;9.610.680;0;1.431.298;197.977;0;1.019.149;12.259.105;-3.064.404;-46.094;-8;-60.762;-4.308.754;-7.480.023;4.779.083;1.950.706;80.833;-671.240;-2.201.027;-799.230;10.321;2.396.756;-1.896.909;-1.129.789;3.649.293;1.711;3.651.004;-1.140.991;-10.915;2.499.098;0
SAFRA - PRUDENCIAL;1000080109;b1;S2;C;2;SAO PAULO;SP;09/2024;4.440.821;354.043;2.881.433;-462.668;102.609;271.432;7.587.670;-5.619.645;-747.600;-265.921;0;1.148.675;-5.484.490;2.103.179;498.222;188.169;-833.354;-790.295;-191.738;363.730;3.274.283;-3.733.832;-1.224.816;878.363;25.257;903.620;-128.884;-12.649;762.086;0
XP - PRUDENCIAL;1000082475;b1;S2;C;2;RIO DE JANEIRO;RJ;09/2024;684.656;0;4.953.091;1.242.673;464.386;139.803;7.484.608;-5.201.048;-35.445;0;0;-35.267;-5.271.760;2.212.848;1.268.968;320.943;-530.134;-1.407.866;-138.930;22.115;550.353;-1.759.125;-1.673.676;539.172;1.175;540.347;20.659;-331.282;229.724;0
