Instituição;Código;TCB;SR;TD;TC;Cidade;UF;Data;Resultado de Intermediação Financeira;;;;;;;;;;;;;;Outras Receitas/Despesas Operacionais;;;;;;;;;Resultado Operacional (e) = (c) + (d);Resultado Não Operacional (f);Resultado antes da Tributação, Lucro e Participação (g) = (e) + (f);Imposto de Renda e Contribuição Social (h);Participação nos Lucros (i);Lucro Líquido (j) = (g) + (h) + (i);Juros Sobre Capital Social de Cooperativas (k);
;;;;;;;;;Receitas de Intermediação Financeira;;;;;;;Despesas de Intermediação Financeira;;;;;;Resultado de Intermediação Financeira (c) = (a) + (b);Rendas de Prestação de Serviços (d1);Rendas de Tarifas Bancárias (d2);Despesas de Pessoal (d3);Despesas Administrativas (d4);Despesas Tributárias (d5);Resultado de Participações (d6);Outras Receitas Operacionais (d7);Outras Despesas Operacionais (d8);Outras Receitas/Despesas  Operacionais (d) = (d1) + (d2) + (d3) + (d4) + (d5) + (d6) + (d7) + (d8);;;;;;;;
;;;;;;;;;Rendas de Operações de Crédito (a1);Rendas de Operações de Arrendamento Mercantil (a2);Rendas de Operações com TVM (a3);Rendas de Operações com Instrumentos Financeiros Derivativos (a4);Resultado de Operações de Câmbio (a5);Rendas de Aplicações Compulsórias (a6);Receitas de Intermediação Financeira (a) = (a1) + (a2) + (a3) + (a4) + (a5) + (a6);Despesas de Captação (b1);Despesas de Obrigações por Empréstimos e Repasses (b2);Despesas de Operações de Arrendamento Mercantil (b3);Resultado de Operações de Câmbio (b4);Resultado de Provisão para Créditos de Difícil Liquidação (b5);Despesas de Intermediação Financeira (b) = (b1) + (b2) + (b3) + (b4) + (b5);;;;;;;;;;;;;;;;;;
ITAU - PRUDENCIAL;1000080099;b1;S1;C;2;SAO PAULO;SP;03/2024;36.009.852;250.042;30.118.304;2.538.425;1.908.376;2.866.453;73.691.452;-42.742.433;-5.974.458;-50.428;0;-9.239.694;-58.007.013;15.684.439;8.377.474;2.602.121;-5.948.010;-6.891.751;-1.993.677;1.951.091;17.366.949;-14.160.543;1.303.653;16.988.092;-81.992;16.906.100;-1.284.067;-5.800.293;9.821.741;0
BB - PRUDENCIAL;1000080329;b1;S1;C;1;BRASILIA;DF;03/2024;38.961.273;69.842;30.253.943;1.227.213;1.296.580;1.691.699;73.500.549;-45.012.703;-5.194.108;-46.331;0;-10.158.091;-60.411.234;13.089.316;4.964.446;1.992.698;-6.242.585;-3.628.339;-1.565.691;2.040.944;4.407.743;-5.209.783;-3.240.566;9.848.750;-1.189;9.847.561;305.909;-1.121.733;9.031.737;0
BRADESCO - PRUDENCIAL;1000080075;b1;S1;C;2;OSASCO;SP;03/2024;26.946.149;636.894;18.007.886;394.138;509.846;2.223.788;48.718.700;-29.382.619;-2.715.973;-474.447;0;-8.460.925;-41.033.963;7.684.737;4.751.166;2.408.528;-5.243.706;-5.286.128;-1.253.834;2.330.114;2.676.499;-4.862.986;-4.480.346;3.204.391;-61.070;3.143.321;1.087.665;-15.104;4.215.882;0
CAIXA ECONÔMICA FEDERAL - PRUDENCIAL;1000080738;b1;S1;C;1;BRASILIA;DF;03/2024;29.417.656;0;12.673.279;1.068.014;85.652;2.471.735;45.716.336;-23.558.861;-6.678.391;0;0;-4.945.793;-35.183.046;10.533.290;4.926.157;1.404.960;-8.044.249;-2.915.590;-1.096.562;704.154;2.288.636;-6.512.458;-9.244.952;1.288.338;105.402;1.393.741;1.240.667;-361.892;2.272.516;0
SANTANDER - PRUDENCIAL;1000080185;b1;S1;C;3;SAO PAULO;SP;03/2024;20.593.353;450.476;8.957.190;-1.808.362;588.463;2.002.759;30.783.879;-18.880.675;-3.135.194;-336.796;0;-5.606.653;-27.959.319;2.824.560;3.836.820;1.353.200;-2.061.818;-3.723.257;-1.076.184;644.661;11.775.561;-9.847.399;901.584;3.726.144;20.006;3.746.150;-174.062;-506.607;3.065.480;0
BNDES - PRUDENCIAL;1000081847;b4;S2;C;1;RIO DE JANEIRO;RJ;03/2024;13.639.562;0;5.352.655;1.044.190;2.311;11.559;20.050.276;-1.067.724;-11.319.659;0;0;418.301;-11.969.082;8.081.195;169.961;0;-675.003;-120.205;-320.967;81.573;92.225;-517.055;-1.289.472;6.791.723;74;6.791.796;-1.544.704;-9.659;5.237.433;0
BTG PACTUAL - PRUDENCIAL;1000080336;b1;S1;C;2;RIO DE JANEIRO;RJ;03/2024;6.979.777;0;6.704.569;876.893;200.256;604.004;15.365.499;-8.453.356;-2.810.762;0;0;-487.842;-11.751.960;3.613.538;1.526.962;295.879;-821.356;-2.681.520;-427.009;1.130.428;2.120.931;-1.219.469;-75.154;3.538.384;28.342;3.566.726;-166.597;-626.458;2.773.672;0
NU PAGAMENTOS - PRUDENCIAL;1000084693;n1;S3;C;2;SAO PAULO;SP;03/2024;8.040.167;0;1.090.139;29.385;0;777.621;9.937.312;-2.518.663;-38.971;0;-13.677;-3.946.991;-6.518.302;3.419.010;1.801.900;35.700;-594.333;-2.068.447;-721.839;675;2.699.076;-1.634.086;-481.355;2.937.655;718;2.938.373;-1.109.333;-54.733;1.774.307;0
SAFRA - PRUDENCIAL;1000080109;b1;S2;C;2;SAO PAULO;SP;03/2024;4.963.589;278.351;3.936.888;112.745;143.105;265.740;9.700.419;-6.371.838;-1.003.925;-198.586;0;-630.487;-8.204.836;1.495.583;449.937;155.629;-834.263;-704.790;-176.113;242.394;1.587.102;-1.327.813;-607.917;887.666;7.686;895.352;-216.016;-11.467;667.869;0
XP - PRUDENCIAL;1000082475;b1;S2;C;2;RIO DE JANEIRO;RJ;03/2024;710.891;0;4.146.947;327.330;133.901;61.479;5.380.548;-4.315.215;-62.341;0;0;-59.491;-4.437.047;943.501;1.131.655;283.327;-591.031;-1.370.103;-143.127;-7.078;422.796;-284.568;-558.128;385.373;1.554;386.926;-4.552;-312.102;70.272;0
